name,ID,study,latitude,longitude,region,strato,rockType,texture,location,dummy,Ferrous,MgN,Mg-Fe,Fe-Mg,Fe_Mg,Al-CaNaK,alkali,Ti-Na,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,MnO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,age,xSiO2,xTiO2,xAl2O3,xFe2O3,xFeO,xMgO,xMnO,xCaO,xNa2O,xK2O,xP2O5,xCr2O3,xNiO,Total,xFe2O3*,xFeO*,xH2O,Mg,K,Ca,Sc,Ti,V,Cr,Mn,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,87Sr/86Sr,SrI,87Rb/86Sr,143Nd/144Nd,eNd,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb
1002-2-1,6,mine,34.296295,133.877013,C-NE_shikoku,2,intermediate,volcanic,Lava1,1,?,54.23123875,?,0.843955666,0.937728518,0.946693193,5.373168915,0.142505283,60.12303829,0.725831448,18.1558672,0,5.777238926,3.457780371,0.090728931,6.12924334,3.951748995,1.421419919,0.159732636,0.006313764,0.001056189,13.3,60.12437819,0.725847624,18.15627182,0,5.777367678,3.457857431,0.090730953,6.129379936,3.951837064,1.421451597,0.159736196,0.006313904,0.001056212,100.0022286,6.420727108,5.777367678,?,17739.61877,9428.189447,43876.42395,16.92253628,406.569553,100.2179418,31.92459754,611.2837107,10.09268534,9.996234696,48.45533227,53.9,247.1,21.41025607,101.6703751,4.086606654,1.368342961,201.6,19.75174251,20.24496489,4.364560314,19.37860745,4.31015266,1.361590514,4.26623061,0.658182361,4.205046845,0.868449456,2.333286057,0.368854975,2.364104621,0.371713084,2.793920731,0.388938353,14.22093986,3.881726334,1.096673668,0.704969,?,?,0.512672,0.663236046,?,?,?
1002-2-3,7,mine,34.296295,133.877013,C-NE_shikoku,2,intermediate,volcanic,Lava1,1,?,53.9828831,?,0.852439037,0.947154486,0.932845154,5.404490209,0.142305943,60.10994111,0.73060701,18.13506715,0,5.725682917,3.392818854,0.090074837,6.245188686,3.983309451,1.421180759,0.159734193,0.005466099,0.00092894,?,60.11110273,0.730621129,18.13541761,0,5.725793566,3.39288442,0.090076578,6.245309375,3.983386428,1.421208223,0.15973728,0.005466204,0.000928958,100.0019325,6.363409776,5.725793566,?,24100.91094,9314.772424,44705.98729,21.86169737,491.0572645,119.4167979,30.59799106,677.4197402,9.715804264,9.672811296,56.89639374,55.3,253,23.27616056,121.087116,4.924743803,2.544341793,195.8,17.17305459,21.67222105,4.657366766,19.51513766,4.699180711,1.326891276,4.594648949,0.687457694,4.566370489,0.904014699,2.613044078,0.397680598,2.518282884,0.379437492,3.451172877,0.430103216,9.375882035,9.143807792,1.295474711,?,?,?,?,?,?,?,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002-9-1,8,mine,34.290948,133.89387,C-NE_shikoku,3,intermediate,volcanic,Lava2,1,?,71.45405584,?,0.399500684,0.443889648,0.823427872,4.647467299,0.178686057,57.21881782,0.669635073,15.24169383,0,6.766404739,8.555337651,0.11993464,6.516448772,2.908415019,1.73905228,0.159577184,0.081237219,0.023445772,13.1,57.23647448,0.66984171,15.24639713,0,6.768492726,8.55797767,0.11997165,6.518459627,2.909312502,1.739588919,0.159626426,0.081262287,0.023453007,100.0308581,7.522222428,6.768492726,?,58810.30207,11454.20534,46693.69131,26.0897513,443.4345913,133.9518307,530.1958761,929.0300575,208.2400645,24.92861423,57.57956377,68.2,225.9,32.03281387,97.7554398,9.393894596,3.708922465,269.4,39.25387601,30.85958101,6.456784902,29.59025719,6.167843544,1.700828811,6.623402319,0.930809315,6.172622628,1.170865862,3.381462345,0.466972238,3.110637501,0.447778232,2.787908109,0.738439418,15.72951521,8.642329622,1.940305583,?,?,?,?,?,?,?,?
1005-8-2,9,mine,34.293903,133.898096,C-NE_shikoku,3,intermediate,volcanic,Lava2,1,?,69.97951117,?,0.42898969,0.476655212,0.823163046,4.761051851,0.1900785,56.96222667,0.701628694,15.76659908,0,6.716398421,7.908357706,0.110255938,6.815821597,2.866654378,1.894397473,0.159587744,0.077795116,0.020277189,?,57.01814568,0.702317473,15.78207692,0,6.722991814,7.916121228,0.110364174,6.822512592,2.869468531,1.896257176,0.159744409,0.077871487,0.020297095,100.0981686,7.471654599,6.722991814,?,56911.46036,14140.20958,48835.6191,24.39241109,413.3737016,128.0604003,539.9853096,775.0850245,174.1242107,21.62965578,51.34890717,69.8,236.9,18.37560255,92.73220841,8.925234796,5.28475968,261.3,17.74012067,27.23051307,3.729761033,15.08315024,3.278361479,0.889914969,3.31254159,0.513242738,3.398728276,0.6790383,1.940881339,0.275293332,1.926200508,0.288666363,2.607572327,0.716963209,15.39700847,4.755781106,1.722727866,?,?,?,?,?,?,?,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004-4-1phy,10,mine,34.329742,133.927282,C-NE_shikoku,4,intermediate,volcanic,Lava3,1,?,15.0351926,?,5.651062124,6.278957916,1.031840246,7.156242593,0.097227317,66.51635743,0.519897966,17.62556046,0,3.763528895,0.336404566,0.020388156,3.853361396,4.148989651,3.007252941,0.199583483,0.006766398,0.001908652,12.75,66.52212826,0.519943071,17.62708962,0,3.763855411,0.336433752,0.020389924,3.853695706,4.14934961,3.007513845,0.199600798,0.006766985,0.001908818,100.0086758,4.182992985,3.763855411,?,2810.438452,21388.06339,27595.81194,13.35345185,239.8662669,24.09738409,45.79227314,230.9472177,20.96616654,8.968575292,47.68559311,132.9,269.7,13.34297582,191.950949,10.61913346,8.026951256,376.5,27.20374696,47.06035926,5.386751993,20.19565637,3.666563449,1.017025282,3.192455282,0.484484039,2.677424478,0.539710369,1.452509969,0.240487265,1.468548825,0.25530463,4.989460674,0.992791748,26.17580927,17.9132438,3.230418096,?,?,?,?,?,?,?,?
1028-1-1-5phy,11,mine,34.318289,133.92125,C-NE_shikoku,4,intermediate,volcanic,Lava3,1,?,69.88863461,?,0.430847813,0.478719793,0.853590133,5.243323268,0.171717607,58.84622037,0.715915292,15.97196934,0,5.848431225,6.856653505,0.110916454,6.170988154,3.236743787,2.006579482,0.16959951,0.0492218,0.016761078,?,58.88507444,0.716387986,15.98251506,0,5.852292736,6.861180709,0.110989688,6.175062638,3.238880894,2.007904355,0.16971149,0.0492543,0.016772145,100.0660264,6.503995713,5.852292736,?,51152.53208,14356.41132,44205.57837,23.53642645,460.4532853,112.4733646,346.212108,844.4083929,149.7090687,24.65961562,54.49375773,83,249.8,18.05128422,119.2581291,10.62210378,5.710750935,295.5,19.70065591,33.16852937,3.938242394,17.36395923,3.719570402,1.013331299,3.595142969,0.527445516,3.384765844,0.709501737,2.051957816,0.302678432,2.067641707,0.308371064,3.343466352,0.878352745,16.18155419,10.08039626,2.020646012,?,?,?,?,?,?,?,?
1028-1-1-5APHY,12,mine,34.318289,133.92125,C-NE_shikoku,4,intermediate,volcanic,Lava3,1,?,69.17228848,?,0.44566563,0.495184033,0.854930953,5.263493428,0.177451378,58.9812035,0.721850527,16.00102002,0,5.864631693,6.647040272,0.100257018,6.185857991,3.158096057,2.105397371,0.169601103,0.049631231,0.015413215,?,59.01959247,0.722320357,16.01143457,0,5.868448793,6.651366617,0.100322272,6.189884167,3.16015156,2.106767707,0.16971149,0.049663534,0.015423247,100.0650868,6.521950886,5.868448793,?,47888.82611,16017.26507,44311.68162,22.66334683,413.5210547,109.9679868,346.7724834,727.291264,171.7792574,20.26688243,49.55447008,84.6,253.6,14.51108756,110.8258771,10.18643847,7.411023192,283.9,16.96827556,30.62663831,3.480045022,14.10804215,3.012213574,0.934839497,2.870210744,0.442423167,2.809015018,0.560295696,1.661958917,0.251626521,1.732321711,0.255839937,3.092331079,0.825880579,18.23900075,9.042147432,1.959208066,?,?,?,?,?,?,?,?
1028-1-3-3,13,mine,34.318289,133.92125,C-NE_shikoku,4,intermediate,volcanic,Lava3,1,?,68.96358024,?,0.450040727,0.500045252,0.847233486,5.392895999,0.164542732,59.01053424,0.713027218,16.02804844,0,5.824838062,6.537756602,0.090383732,6.156136401,3.364283351,2.028612648,0.179556517,0.049820223,0.017002559,?,59.04999309,0.713504001,16.03876599,0,5.828732984,6.542128234,0.090444169,6.160252853,3.366532962,2.029969129,0.179676582,0.049853536,0.017013928,100.0668675,6.47781238,5.828732984,?,36820.09928,13515.73691,44103.96165,18.24643634,401.0115474,97.96460719,296.1145206,611.3478121,109.5828427,18.46584435,43.46294813,84.1,254.8,13.96219799,105.3935574,9.697662686,5.291514354,282.4,16.34218629,29.87190761,3.333700913,14.10648875,2.952794424,0.908657959,2.847356032,0.422587946,2.720321414,0.562516656,1.559075324,0.276404497,1.562941101,0.242650557,2.870214715,0.759073831,15.23144699,9.535061056,1.839383217,?,?,?,?,?,?,?,?
